end_date,approval_percentage,weighted_no,total_sample_size
2017-01-22,45.57044673539519,40.43642611683849,3492.0
2017-01-23,45.0,46.0,1500.0
2017-01-24,46.83053091486826,44.49700781146564,7553.0
2017-01-25,44.25863586358636,41.60781863900676,12726.0
2017-01-26,46.43377173091459,46.57871504157219,6615.0
2017-01-27,44.50161042944785,46.869171779141105,5216.0
2017-01-28,46.24966471081307,45.621318804135235,7158.0
2017-01-29,48.61751824817518,46.62244525547445,6576.0
2017-01-30,48.16327436355791,48.564926339148116,16223.0
2017-01-31,46.743980654761906,46.86178571428571,13440.0
2017-02-01,46.95761429003936,48.05924916742355,9909.0
2017-02-02,46.065944682508764,48.18611608881964,12835.0
2017-02-03,45.989634558989394,47.865362057297546,8866.0
2017-02-04,45.945321959273535,47.16933131535498,14536.0
2017-02-05,46.84399412960036,50.494957477233385,26574.0
2017-02-06,46.449478364973494,48.75412177184881,11694.0
2017-02-07,45.70874630645842,48.52759814267624,11845.0
2017-02-08,46.53109756097561,48.89553915275995,9348.0
2017-02-09,46.59774712643678,48.648413793103444,8700.0
2017-02-10,46.479759406910055,48.411777871030914,7149.0
2017-02-11,45.580275144078826,49.5622420524261,5379.0
2017-02-12,45.32790199809705,52.234922522767434,29428.0
2017-02-13,46.29421315570358,49.670407993338884,12010.0
2017-02-14,44.85890446976337,49.944539877300606,11410.0
2017-02-15,45.926427350427346,49.98646153846153,8775.0
2017-02-16,44.93276080691643,50.217763688760805,8675.0
2017-02-17,45.47631558964234,52.36728680993242,26338.0
2017-02-18,43.60742087254063,50.959505988023956,9352.0
2017-02-19,43.853875071198026,51.718162141636604,26335.0
2017-02-20,45.492353542234326,49.721721730245235,11744.0
2017-02-21,44.074301940369146,51.00407950780881,10565.0
2017-02-22,45.56056843913485,47.98925587569298,12807.0
2017-02-23,45.051516617663474,52.701533365588595,26869.0
2017-02-24,43.523962213943584,49.913783927621076,7516.0
2017-02-25,43.77826723449561,49.72559222784136,7514.0
2017-02-26,46.32463167587477,48.72870165745856,10860.0
2017-02-27,45.58702886247878,49.64464063384267,8835.0
2017-02-28,46.04008315541072,49.12102483425104,8899.0
2017-03-01,45.39380003558086,49.99567692581392,11242.0
2017-03-02,46.28435717625059,51.57173757207418,32085.0
2017-03-03,45.514790224608,48.85434383387484,7079.0
2017-03-04,44.53122590593678,49.449267540478026,9079.0
2017-03-05,46.846127256433235,48.42716041479964,15622.0
2017-03-06,46.085394921327314,47.48849509269357,12838.0
2017-03-07,45.05861818181818,49.17112727272727,12375.0
2017-03-08,46.50267878215719,49.03142553693652,8474.0
2017-03-09,47.34622211723417,50.50261870212264,29633.0
2017-03-10,46.40147267063155,47.95157179269329,7062.0
2017-03-11,46.071596762325235,48.76655629139073,8154.0
2017-03-12,43.715746066948505,52.06599902973179,14429.0
2017-03-13,46.538434864104964,48.95959700093721,10670.0
2017-03-14,43.86817030854356,50.63357404107663,10663.0
2017-03-15,44.067716810044175,51.03480585910253,8602.0
2017-03-16,45.957492120282815,52.480347559417325,35217.0
2017-03-17,43.4747736574476,49.44979536152797,8063.0
2017-03-18,42.034162763466036,51.84121779859485,6832.0
2017-03-19,45.823314442055896,49.36015243306625,10234.0
2017-03-20,45.30047192526245,50.22934604642204,10383.0
2017-03-21,43.46619579500656,50.50343298291722,12176.0
2017-03-22,44.544232613908875,51.24058752997601,8340.0
2017-03-23,43.335665791617636,54.34533960954708,33141.0
2017-03-24,44.538534756273435,50.43443899625036,6934.0
2017-03-25,43.815162864601064,50.573499035296784,8811.0
2017-03-26,42.08264363679981,52.561329015233305,8337.0
2017-03-27,41.37384467265725,51.7171052631579,12464.0
2017-03-28,41.185884738360755,52.24479450986509,12823.0
2017-03-29,40.903807059693214,53.67438551099612,10822.0
2017-03-30,43.1042391372109,54.69636244623153,32082.0
2017-03-31,43.867337013669825,49.9030625657203,7608.0
2017-04-01,44.519969512195125,50.17493902439025,9840.0
2017-04-02,43.46915142492556,51.738079540621015,9404.0
2017-04-03,42.613037588892645,52.51832881815103,11812.0
2017-04-04,43.577050639055166,50.83673353826242,12362.0
2017-04-05,42.8291975660772,53.214746149458065,10518.0
2017-04-06,42.58542518837459,54.638089343379974,37160.0
2017-04-07,42.39551820728291,51.54770308123249,7140.0
2017-04-08,43.12167536313637,50.577182343816105,7091.0
2017-04-09,45.4317136344799,49.78416908412763,9652.0
2017-04-10,45.918027533823874,49.41979586992642,8426.0
2017-04-11,43.83407104595433,50.45375669579927,14188.0
2017-04-12,43.63750846883468,50.63090277777778,11808.0
2017-04-13,45.00577198113006,52.48581552714155,46847.0
2017-04-14,44.35400267737617,50.06629183400267,7470.0
2017-04-15,44.93894493484657,49.11845313156788,9516.0
2017-04-16,46.712552995391704,49.82208294930875,5425.0
2017-04-17,45.66555928411633,51.54440715883669,8940.0
2017-04-18,42.07622293723074,53.92639472105579,18337.0
2017-04-19,43.93743163172288,50.937135369188695,8776.0
2017-04-20,44.52992474877308,52.95769385370414,42790.0
2017-04-21,42.5202557544757,52.10492327365729,7820.0
2017-04-22,41.160495480415136,53.55741546702377,5974.0
2017-04-23,43.428739225158665,51.73709387136497,10557.0
2017-04-24,43.767759444203215,51.3426906932986,13818.0
2017-04-25,42.086311612124,50.90772416173003,17387.0
2017-04-26,42.513117006658916,52.93632808371208,9461.0
2017-04-27,45.295983323164535,52.48771100264389,39336.0
2017-04-28,42.65356517680009,51.29445676274945,8569.0
2017-04-29,42.467491961414794,51.68631296891747,9330.0
2017-04-30,44.649621630813705,50.875452767621795,11761.0
