date,days_in_office,approval_rating,politician
2017-05-18,118,39.57257236516576,Donald Trump
2017-05-19,119,37.71815792931284,Donald Trump
2017-05-20,120,42.55490196078431,Donald Trump
2017-05-21,121,38.973920647065256,Donald Trump
2017-05-22,122,39.768385278514586,Donald Trump
2017-05-23,123,39.74029268292683,Donald Trump
2017-05-24,124,40.493758155719874,Donald Trump
2017-05-25,125,41.55218900077459,Donald Trump
2017-05-26,126,39.3037009893734,Donald Trump
2017-05-27,127,40.18104863408061,Donald Trump
2017-05-28,128,41.82523037813791,Donald Trump
2017-05-29,129,41.40046923323025,Donald Trump
2017-05-30,130,40.804315025029965,Donald Trump
2017-05-31,131,42.06332810824189,Donald Trump
2017-06-01,132,41.63322192070951,Donald Trump
2017-06-02,133,40.2378021746015,Donald Trump
2017-06-03,134,38.661271165024,Donald Trump
2017-06-04,135,40.19518673856601,Donald Trump
2017-06-05,136,40.54568392078905,Donald Trump
2017-06-06,137,38.96524471783899,Donald Trump
2017-06-07,138,39.65663060278207,Donald Trump
2017-06-08,139,41.311973585472,Donald Trump
2017-06-09,140,39.05102621722847,Donald Trump
2017-06-10,141,37.01310408921933,Donald Trump
2017-06-11,142,39.099584094136745,Donald Trump
2017-06-12,143,41.37466552192888,Donald Trump
2017-06-13,144,40.48807855430574,Donald Trump
2017-06-14,145,40.52031211899536,Donald Trump
2017-06-15,146,43.43716364533235,Donald Trump
2017-06-16,147,39.81160872127283,Donald Trump
2017-06-17,148,38.05701924511413,Donald Trump
2017-06-18,149,38.38862326835847,Donald Trump
2017-06-19,150,40.86496686833765,Donald Trump
2017-06-20,151,39.695048047117176,Donald Trump
2017-06-21,152,42.591835760324656,Donald Trump
2017-06-22,153,43.39139605420598,Donald Trump
2017-06-23,154,38.287540500736384,Donald Trump
2017-06-24,155,39.82469262295082,Donald Trump
2017-06-25,156,39.20431668417535,Donald Trump
2017-06-26,157,37.77897098414598,Donald Trump
2017-06-27,158,40.08723566525688,Donald Trump
2017-06-28,159,39.34153809636839,Donald Trump
2017-06-29,160,41.09807814220413,Donald Trump
2017-06-30,161,38.97996299985769,Donald Trump
2017-07-01,162,39.32288863441168,Donald Trump
2017-07-02,163,38.75802290785265,Donald Trump
2017-07-03,164,39.47032644577577,Donald Trump
2017-07-04,165,38.64304513589964,Donald Trump
2017-07-05,166,39.70147510755993,Donald Trump
2017-07-06,167,43.03937432909064,Donald Trump
2017-07-07,168,39.53757763975155,Donald Trump
2017-07-08,169,40.74120727272727,Donald Trump
2017-07-09,170,42.3623012686687,Donald Trump
2017-07-10,171,41.28951314816771,Donald Trump
2017-07-11,172,39.53416119962512,Donald Trump
2017-07-12,173,41.778847217612565,Donald Trump
2017-07-13,174,42.27106647258612,Donald Trump
2017-07-14,175,40.74633630457773,Donald Trump
2017-07-15,176,41.781657355679705,Donald Trump
2017-07-16,177,41.071753215356345,Donald Trump
2017-07-17,178,39.94270047978068,Donald Trump
2017-07-18,179,38.898786696080094,Donald Trump
2017-07-19,180,39.632575387918415,Donald Trump
2017-07-20,181,41.01485442661913,Donald Trump
2017-07-21,182,38.850350903389575,Donald Trump
2017-07-22,183,38.66329284750337,Donald Trump
2017-07-23,184,39.28091699206449,Donald Trump
2017-07-24,185,40.974049513704685,Donald Trump
2017-07-25,186,38.78744873628994,Donald Trump
2017-07-26,187,37.20224603808004,Donald Trump
2017-07-27,188,39.56667633290526,Donald Trump
2017-07-28,189,37.758289269051325,Donald Trump
2017-07-29,190,38.39588457124118,Donald Trump
2017-07-30,191,37.80543893940681,Donald Trump
2017-07-31,192,38.67096329609749,Donald Trump
2017-08-01,193,37.90550144052682,Donald Trump
2017-08-02,194,37.796591437878085,Donald Trump
2017-08-03,195,39.37237880496054,Donald Trump
2017-08-04,196,37.60167701863354,Donald Trump
2017-08-05,197,36.12892082354567,Donald Trump
2017-08-06,198,37.50487666169048,Donald Trump
2017-08-07,199,38.87314248251748,Donald Trump
2017-08-08,200,37.93788538098324,Donald Trump
2017-08-09,201,37.63004169825626,Donald Trump
2017-08-10,202,41.32098478917347,Donald Trump
2017-08-11,203,39.262550455972494,Donald Trump
2017-08-12,204,37.79343446314292,Donald Trump
2017-08-13,205,37.94567635903919,Donald Trump
2017-08-14,206,40.18743733411973,Donald Trump
2017-08-15,207,37.94357571714476,Donald Trump
2017-08-16,208,36.09087214028568,Donald Trump
2017-08-17,209,40.22007928744272,Donald Trump
2017-08-18,210,36.36757687284816,Donald Trump
2017-08-19,211,37.45606980802792,Donald Trump
2017-08-20,212,36.5531640801567,Donald Trump
2017-08-21,213,37.05145659408021,Donald Trump
2017-08-22,214,38.33380310597249,Donald Trump
2017-08-23,215,37.054662727720334,Donald Trump
2017-08-24,216,38.990625,Donald Trump
2017-08-25,217,35.75954341858113,Donald Trump
2017-08-26,218,37.11109552203904,Donald Trump
2017-08-27,219,37.39716809196691,Donald Trump
2017-08-28,220,39.27971909107175,Donald Trump
2017-08-29,221,38.549800362976406,Donald Trump
2017-08-30,222,37.36691517410674,Donald Trump
2017-08-31,223,40.04299225336776,Donald Trump
